Ⅲ- 非保険負債,[51],A_Total_Non_Insurance_Liab,A_NL_Total_Non_Insurance_Liab,A_L_Total_Non_Insurance_Liab,E_RC_Total_Non_Insurance_Liab,E_RV_Total_Non_Insurance_Liab,E_L_Total_Non_Insurance_Liab,E_Total_Non_Insurance_Liab
    危険準備金,[52],A_Contingency_Res,A_NL_Contingency_Res,A_L_Contingency_Res,E_RC_Contingency_Res,E_RV_Contingency_Res,E_L_Contingency_Res,E_Contingency_Res
    異常危険準備金,[53],A_Cat_Res,A_NL_Cat_Res,A_L_Cat_Res,E_RC_Cat_Res,E_RV_Cat_Res,E_L_Cat_Res,E_Cat_Res
    契約者配当準備金（未割当）,[54],A_Dividend_Res_unallocated,A_NL_Dividend_Res_unallocated,A_L_Dividend_Res_unallocated,E_RC_Dividend_Res_unallocated,E_RV_Dividend_Res_unallocated,E_L_Dividend_Res_unallocated,E_Dividend_Res_unallocated
    その他の規制上の準備金,[55],A_Other_Regulatory_Res,A_NL_Other_Regulatory_Res,A_L_Other_Regulatory_Res,E_RC_Other_Regulatory_Res,E_RV_Other_Regulatory_Res,E_L_Other_Regulatory_Res,E_Other_Regulatory_Res
    その他の準備金,[56],A_Other_Res,A_NL_Other_Res,A_L_Other_Res,E_RC_Other_Res,E_RV_Other_Res,E_L_Other_Res,E_Other_Res
    短期社債,[57],A_Short_Term_Corporate_Bond,A_NL_Short_Term_Corporate_Bond,A_L_Short_Term_Corporate_Bond,E_RC_Short_Term_Corporate_Bond,E_RV_Short_Term_Corporate_Bond,E_L_Short_Term_Corporate_Bond,E_Short_Term_Corporate_Bond
    社債,[58],A_Corporate_Bond_Liab,A_NL_Corporate_Bond_Liab,A_L_Corporate_Bond_Liab,E_RC_Corporate_Bond_Liab,E_RV_Corporate_Bond_Liab,E_L_Corporate_Bond_Liab,E_Corporate_Bond_Liab
    新株予約権付社債,[59],A_Bonds_w_Stock_Acquisition,A_NL_Bonds_w_Stock_Acquisition,A_L_Bonds_w_Stock_Acquisition,E_RC_Bonds_w_Stock_Acquisition,E_RV_Bonds_w_Stock_Acquisition,E_L_Bonds_w_Stock_Acquisition,E_Bonds_w_Stock_Acquisition
    退職給付に係る負債（退職給付引当金）,[60],A_Retirement_Ben_Liab,A_NL_Retirement_Ben_Liab,A_L_Retirement_Ben_Liab,E_RC_Retirement_Ben_Liab,E_RV_Retirement_Ben_Liab,E_L_Retirement_Ben_Liab,E_Retirement_Ben_Liab
    役員退職慰労引当金,[61],A_Retirement_Ben_Officers,A_NL_Retirement_Ben_Officers,A_L_Retirement_Ben_Officers,E_RC_Retirement_Ben_Officers,E_RV_Retirement_Ben_Officers,E_L_Retirement_Ben_Officers,E_Retirement_Ben_Officers
    その他の引当金,[62],A_Other_Provision,A_NL_Other_Provision,A_L_Other_Provision,E_RC_Other_Provision,E_RV_Other_Provision,E_L_Other_Provision,E_Other_Provision
    価格変動準備金,[63],A_Price_Fluctuations_Res,A_NL_Price_Fluctuations_Res,A_L_Price_Fluctuations_Res,E_RC_Price_Fluctuations_Res,E_RV_Price_Fluctuations_Res,E_L_Price_Fluctuations_Res,E_Price_Fluctuations_Res
    金融商品取引責任準備金,[64],A_Financial_Transaction_Res,A_NL_Financial_Transaction_Res,A_L_Financial_Transaction_Res,E_RC_Financial_Transaction_Res,E_RV_Financial_Transaction_Res,E_L_Financial_Transaction_Res,E_Financial_Transaction_Res
    繰延税金負債,[65],A_DTL,A_NL_DTL,A_L_DTL,E_RC_DTL,E_RV_DTL,E_L_DTL,E_DTL
    再評価に係る繰延税金負債,[66],A_DTL_for_Revaluation,A_NL_DTL_for_Revaluation,A_L_DTL_for_Revaluation,E_RC_DTL_for_Revaluation,,,E_DTL_for_Revaluation
    未払法人税等,[67],A_Income_Taxes_Payable,A_NL_Income_Taxes_Payable,A_L_Income_Taxes_Payable,E_RC_Income_Taxes_Payable,E_RV_Income_Taxes_Payable,E_L_Income_Taxes_Payable,E_Income_Taxes_Payable
    その他負債,[68],A_Other_Liab,A_NL_Other_Liab,A_L_Other_Liab,E_RC_Other_Liab,E_RV_Other_Liab,E_L_Other_Liab,E_Other_Liab
